country_code,CPV,total_value_sme,n_contracts_sme,n_contractors_sme,total_value_large,n_contracts_large,n_contractors_large
BE,92511000,13003557.0,9,10,599250.0,2,3
BE,92521100,4040000.0,3,5,144942042.41000003,6,7
BE,92522200,198000.0,1,1,216000.0,1,1
BE,98113100,7722250.0,4,18,8945040.0,4,20
BE,98311000,290305.0,1,1,83464.76,1,1
BE,98392000,31014.8,1,1,316837.0,1,1
BG,03100000,756456.44,7,7,323652.72,2,2
BG,03111000,417169.43999999994,13,13,9305.66,4,4
BG,03114000,28956.44,3,3,103489.88,7,7
BG,03114200,133158.8,6,6,521241.92,3,3
BG,03120000,306779.83,1,1,94590.45000000001,2,2
BG,03142500,193546.97000000003,5,5,12168.83,1,1
BG,03211000,76731.09,1,1,116228.65,1,1
BG,03211200,32467.52,2,2,4187.54,1,1
BG,03220000,190434.35,3,3,69166.58,1,1
BG,03221000,229296.49,2,2,279273.68999999994,4,4
BG,03221210,253093.36,1,1,27874.14,2,2
BG,03222000,55701.68,2,2,51129.97,1,1
BG,03311000,41381.06,3,3,88768.33,1,1
BG,03450000,346916.86,3,3,33285.61,1,1
BG,09000000,5803728.76,23,24,7972163.62,44,45
BG,09100000,23925442.299999993,103,106,128895075.89999998,259,266
BG,09110000,100526.64,5,5,224419.68000000002,6,6
BG,09111400,122430.72,3,3,371142.24,3,3
BG,09121200,91778.3,4,4,172750.28,3,3
BG,09122000,11961.1,1,1,184720.83000000002,3,3
BG,09123000,2722301.11,58,58,42603224.22,131,132
BG,09130000,20769245.67,15,15,1278338.55,11,11
BG,09132000,427207.55,1,1,890230.89,5,5
BG,09132100,1173877.7,2,2,23629920.020000003,5,5
